import time: self [us] | cumulative | imported package
import time:       398 |        398 |                                     click._compat
import time:       255 |        255 |                                       click.globals
import time:       314 |        314 |                                       click.utils
import time:       645 |       1213 |                                     click.exceptions
import time:      1311 |       4294 |                                   click.types
import time:       377 |        377 |                                   click._utils
import time:       353 |        353 |                                     click.parser
import time:       369 |        721 |                                   click.formatting
import time:       390 |        390 |                                   click.termui
import time:      1064 |       7525 |                                 click.core
import time:       343 |        343 |                                 click.decorators
import time:       329 |       8197 |                               click
import time:       269 |        269 |                                 pygments
import time:      1622 |       1622 |                                 pygments.lexers._mapping
import time:       460 |        460 |                                 pygments.modeline
import time:       225 |        225 |                                         importlib._abc
import time:       106 |        331 |                                       importlib.util
import time:       371 |        371 |                                         zipfile._path.glob
import time:       529 |        900 |                                       zipfile._path
import time:       887 |       2117 |                                     zipfile
import time:       272 |        272 |                                     importlib.metadata._meta
import time:       336 |        336 |                                     importlib.metadata._collections
import time:       622 |        622 |                                     importlib.metadata._functools
import time:       146 |        146 |                                     importlib.metadata._itertools
import time:       353 |        353 |                                           importlib.resources.abc
import time:       583 |        936 |                                         importlib.resources._common
import time:       115 |        115 |                                         importlib.resources._functional
import time:       102 |       1151 |                                       importlib.resources
import time:       368 |       1518 |                                     importlib.abc
import time:      1536 |       6545 |                                   importlib.metadata
import time:       250 |       6794 |                                 pygments.plugin
import time:       766 |        766 |                                 pygments.util
import time:       717 |      10626 |                               pygments.lexers
import time:       585 |        585 |                                   rich._extension
import time:       533 |       1118 |                                 rich
import time:       499 |        499 |                                 rich._null_file
import time:       316 |        316 |                                 rich.errors
import time:       233 |        233 |                                         colorsys
import time:       464 |        464 |                                             rich.color_triplet
import time:       303 |        767 |                                           rich.palette
import time:       220 |        986 |                                         rich._palettes
import time:       230 |        230 |                                         rich.repr
import time:       151 |        151 |                                         rich.terminal_theme
import time:       890 |       2488 |                                       rich.color
import time:       666 |       3154 |                                     rich.style
import time:      1114 |       4267 |                                   rich.default_styles
import time:       218 |        218 |                                   rich.theme
import time:       247 |       4731 |                                 rich.themes
import time:       242 |        242 |                                 rich._emoji_replace
import time:        92 |         92 |                                 rich._export_format
import time:        88 |         88 |                                 rich._fileno
import time:       317 |        317 |                                     rich._loop
import time:       106 |        106 |                                     rich._pick
import time:       226 |        226 |                                           rich._unicode_data._versions
import time:       138 |        363 |                                         rich._unicode_data
import time:       474 |        836 |                                       rich.cells
import time:       144 |        980 |                                     rich._wrap
import time:       821 |        821 |                                           rich.segment
import time:       259 |       1080 |                                         rich.jupyter
import time:       189 |        189 |                                           rich.protocol
import time:       555 |        744 |                                         rich.measure
import time:       221 |       2044 |                                       rich.constrain
import time:       443 |       2486 |                                     rich.align
import time:       454 |        454 |                                     rich.containers
import time:       321 |        321 |                                     rich.control
import time:       250 |        250 |                                     rich.emoji
import time:       999 |       5910 |                                   rich.text
import time:       343 |       6252 |                                 rich._log_render
import time:       402 |        402 |                                 rich.highlighter
import time:       686 |        686 |                                 rich.markup
import time:       222 |        222 |                                 rich.pager
import time:       246 |        246 |                                 rich.region
import time:       214 |        214 |                                 rich.screen
import time:       779 |        779 |                                 rich.styled
import time:      2020 |      17899 |                               rich.console
import time:       853 |        853 |                                 mmap
import time:       247 |        247 |                                 rich.filesize
import time:       579 |        579 |                                     rich.ansi
import time:       285 |        863 |                                   rich.file_proxy
import time:       353 |        353 |                                   rich.live_render
import time:       450 |       1665 |                                 rich.live
import time:       269 |        269 |                                 rich.progress_bar
import time:       321 |        321 |                                   rich._spinners
import time:       338 |        338 |                                     rich.box
import time:      1593 |       1593 |                                           _decimal
import time:       227 |       1820 |                                         decimal
import time:      1064 |       2883 |                                       fractions
import time:       388 |       3271 |                                     rich._ratio
import time:       489 |        489 |                                     rich.padding
import time:      1515 |       5612 |                                   rich.table
import time:       252 |       6184 |                                 rich.spinner
import time:      1376 |      10592 |                               rich.progress
import time:       280 |        280 |                                   pygments.filter
import time:       337 |        337 |                                     pygments.token
import time:       693 |       1030 |                                   pygments.filters
import time:       310 |        310 |                                   pygments.regexopt
import time:       613 |       2231 |                                 pygments.lexer
import time:       379 |        379 |                                 pygments.style
import time:       602 |        602 |                                   pygments.styles._mapping
import time:       209 |        811 |                                 pygments.styles
import time:       750 |       4171 |                               rich.syntax
import time:       608 |      52090 |                             httpx._main
import time:       405 |     100410 |                           httpx
import time:       735 |     101144 |                         huggingface_hub.errors
import time:       413 |        413 |                               tqdm._monitor
import time:       183 |        183 |                               tqdm._tqdm_pandas
import time:       841 |        841 |                                   tqdm.utils
import time:      1513 |       2354 |                                 tqdm.std
import time:       300 |        300 |                                     importlib.metadata._text
import time:       395 |        694 |                                   importlib.metadata._adapters
import time:      5669 |       6363 |                                 tqdm.version
import time:       408 |       9123 |                               tqdm.cli
import time:       382 |        382 |                               tqdm.gui
import time:       363 |      10463 |                             tqdm
import time:       255 |        255 |                             tqdm.autonotebook
import time:       274 |        274 |                                     concurrent
import time:       661 |        661 |                                     concurrent.futures._base
import time:       379 |       1313 |                                   concurrent.futures
import time:      1038 |       1038 |                                     _heapq
import time:       344 |       1382 |                                   heapq
import time:       492 |        492 |                                     signal
import time:       910 |        910 |                                     fcntl
import time:        45 |         45 |                                     msvcrt
import time:       960 |        960 |                                     _posixsubprocess
import time:       694 |       3099 |                                   subprocess
import time:       426 |        426 |                                   asyncio.constants
import time:       237 |        237 |                                   asyncio.coroutines
import time:       253 |        253 |                                     asyncio.format_helpers
import time:       225 |        225 |                                       asyncio.base_futures
import time:       277 |        277 |                                       asyncio.exceptions
import time:       252 |        252 |                                       asyncio.base_tasks
import time:       835 |       1587 |                                     _asyncio
import time:       769 |       2608 |                                   asyncio.events
import time:       396 |        396 |                                   asyncio.futures
import time:       281 |        281 |                                   asyncio.protocols
import time:       306 |        306 |                                     asyncio.transports
import time:        88 |         88 |                                     asyncio.log
import time:       539 |        933 |                                   asyncio.sslproto
